id,ticker,fundingRate
1,MDTUSDT,-1
2,WAVESUSDT,-1
3,STRAXUSDT,-1
4,DGBUSDT,-1
5,SCUSDT,-1
6,BTCUSDT,-1
7,XMRUSDT,-1
8,RENUSDT,-1
9,LINAUSDT,-1
10,CKBUSDT,-1
11,GRTUSDT,-1
12,STXUSDT,-1
13,XLMUSDT,-1
14,DENTUSDT,-1
15,UNFIUSDT,-1
16,IOTAUSDT,-1
17,CHZUSDT,-1
18,PHBUSDT,-1
19,DIAUSDT,-1
20,BCHUSDT,-1
21,USDCUSDT,-1
22,SFPUSDT,-1
23,UNIUSDT,-1
24,ZILUSDT,-1
25,FETUSDT,-1
26,YFIUSDT,-1
27,RVNUSDT,-1
28,ONTUSDT,-1
29,ZRXUSDT,-1
30,SUNUSDT,-1
31,CELOUSDT,-1
32,OXTUSDT,-1
33,ARPAUSDT,-1
34,XRPUSDT,-1
35,KNCUSDT,-1
36,SNXUSDT,-1
37,1INCHUSDT,-1
38,SANDUSDT,-1
39,BNTUSDT,-1
40,ATOMUSDT,-1
41,COMPUSDT,-1
42,VTHOUSDT,-1
43,LITUSDT,-1
44,SOLUSDT,-1
45,BNBUSDT,-1
46,ZENUSDT,-1
47,GASUSDT,-1
48,NEARUSDT,-1
49,THETAUSDT,-1
50,ONEUSDT,-1
51,PAXGUSDT,-1
52,CELRUSDT,-1
53,STORJUSDT,-1
54,KSMUSDT,-1
55,LTCUSDT,-1
56,KAVAUSDT,-1
57,POWRUSDT,-1
58,ANKRUSDT,-1
59,RIFUSDT,-1
60,FTMUSDT,-1
61,OCEANUSDT,-1
62,ALPHAUSDT,-1
63,SLPUSDT,-1
64,SNTUSDT,-1
65,STMXUSDT,-1
66,MTLUSDT,-1
67,COTIUSDT,-1
68,RUNEUSDT,-1
69,TWTUSDT,-1
70,LSKUSDT,-1
71,VETUSDT,-1
72,SCRTUSDT,-1
73,MKRUSDT,-1
74,IOTXUSDT,-1
75,AVAXUSDT,-1
76,AVAUSDT,-1
77,COSUSDT,-1
78,DUSKUSDT,-1
79,TROYUSDT,-1
80,ARKUSDT,-1
81,FXSUSDT,-1
82,REEFUSDT,-1
83,ETCUSDT,-1
84,FIOUSDT,-1
85,SXPUSDT,-1
86,IOSTUSDT,-1
87,XVSUSDT,1
88,MANAUSDT,1
89,ENJUSDT,1
90,SKLUSDT,1
91,DASHUSDT,1
92,UMAUSDT,1
93,ADAUSDT,1
94,RLCUSDT,1
95,XTZUSDT,1
96,IDEXUSDT,1
97,TRBUSDT,1
98,SUSHIUSDT,1
99,EOSUSDT,1
100,CHRUSDT,1
101,FUNUSDT,1
102,NEOUSDT,1
103,CTSIUSDT,1
104,LRCUSDT,1
105,CRVUSDT,1
106,ALGOUSDT,1
107,ROSEUSDT,1
108,AAVEUSDT,1
109,QTUMUSDT,1
110,NULSUSDT,1
111,AUDIOUSDT,1
112,TOMOUSDT,1
113,SRMUSDT,1
114,ANTUSDT,1
115,BTSUSDT,1
116,FRONTUSDT,1
117,LUNAUSDT,1
118,COCOSUSDT,1
119,HNTUSDT,1
120,BTTUSDT,1
121,LENDUSDT,1
122,MBLUSDT,1
123,MATICUSDT,1
124,FILUSDT,1
125,HBARUSDT,1
126,TRXUSDT,1
127,ICXUSDT,1
128,FLMUSDT,1
129,PHAUSDT,1
130,ETHUSDT,1
131,BAKEUSDT,1
132,BANDUSDT,1
133,VIDTUSDT,1
134,BALUSDT,1
135,LINKUSDT,1
136,KEYUSDT,1
137,HIVEUSDT,1
138,INJUSDT,1
139,NMRUSDT,1
140,PROMUSDT,1
141,ONGUSDT,1
142,BATUSDT,1
143,DEGOUSDT,1
144,XVGUSDT,1
145,DOTUSDT,1
146,HOTUSDT,1
147,ALICEUSDT,1
148,CAKEUSDT,1
149,BADGERUSDT,1
150,RSRUSDT,1
151,AXSUSDT,1
152,NKNUSDT,1
153,EGLDUSDT,1
154,TRUUSDT,1
155,BLZUSDT,1
156,DFUSDT,1
157,OGNUSDT,1
158,CVCUSDT,1
159,SYSUSDT,1
160,STPTUSDT,1
161,CTKUSDT,1
162,OMUSDT,1
163,DOGEUSDT,1
164,AMBUSDT,1
165,STEEMUSDT,1
166,AERGOUSDT,1
167,FTTUSDT,1
168,XEMUSDT,1
169,ZECUSDT,1
170,OMGUSDT,1
171,AUCTIONUSDT,1
172,DEXEUSDT,1
173,BELUSDT,1
