调仓日期,交易对,持仓数量,入场价格,Run_ID,运行时间
2025-06-03,DEXEUSDT,-1.0,9.282,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,ZECUSDT,-0.174,53.21,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,STXUSDT,12.0,0.7826,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,IOTAUSDT,49.1,0.1887,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,DENTUSDT,12420.0,0.000748,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,XMRUSDT,0.026,359.23,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,DOGEUSDT,-48.0,0.19457,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,XLMUSDT,34.0,0.27107,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,AERGOUSDT,-77.0,0.12079,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,BELUSDT,-31.0,0.2953,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,STEEMUSDT,-66.0,0.13975,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,GRTUSDT,94.0,0.09854,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,AUCTIONUSDT,-0.85,10.844,2025-06-03_174520,2025-06-03 17:52:07
2025-06-03,CKBUSDT,2198.0,0.004222,2025-06-03_174520,2025-06-03 17:52:07
